,name,model,actual price,old price,discount
888,Nike,"Air Force 1 Low SP x Undefeated ""Dunk Vs AF1""","120,00","120,00",0%
889,Reebok,Zig Kinetica II Edg,"70,00","140,00",50%
890,Reebok,Zig Kinetica II Edg,"70,00","140,00",50%
891,adidas Consortium,Ozrah Ruby9100M,"70,00","140,00",50%
892,adidas Consortium,GSG Mule x 032C,"88,00","160,00",45%
893,adidas Consortium,GSG TR x 032C,"110,00","220,00",50%
894,Converse,One Star OX Mellow Mild,"45,00","90,00",50%
895,Converse,One Star OX Mellow Mild,"45,00","90,00",50%
896,Vans,Amazon TRL ,"85,00","170,00",50%
897,Junya Watanabe MAN,Shoes ,"162,50","325,00",50%
898,Vans,Amazon TRL ,"85,00","170,00",50%
899,Asics,Gel-Lyte III OG,"65,00","130,00",50%
900,Reebok,Workout Plus,"55,00","110,00",50%
901,adidas Consortium,Superturf Adventure x Sean Wotherspoon,"96,00","160,00",40%
902,adidas,Dame 7 Extply x Reebok,"60,50","110,00",45%
903,Crocs,Classic Lined Clog,"55,00","55,00",0%
904,adidas,Terrex Hyperblue Mid R.Rdy,"75,00","150,00",50%
905,Crocs,"Clog x Star Wars ""Mandalorian""","36,00","60,00",40%
906,Boris Bidjan Saberi,Bamba 1.1,"708,00","885,00",20%
907,Puma,Leadcat Slide x Neymar Jr,"25,00","50,00",50%
908,Nike,Women's Air Force 1 Fontanka,"110,00","110,00",0%
909,Reebok,Club C Laceless Mule x BEAMS x Paperboy,"60,00","120,00",50%
910,Nike, Overbreak ,"77,00","140,00",45%
911,Converse,Chuck 70 Hi x Basquiat ,"49,50","110,00",55%
912,Converse,Skid Grip OX x Basquiat,"38,25","85,00",55%
913,adidas,Ultra 4D x University of Miami ,"110,00","220,00",50%
914,adidas,Ultra 4D x Arizona State University ,"110,00","220,00",50%
915,Suicoke,DARE-Sevab,"120,00","240,00",50%
916,VEJA,V-15,"140,00","140,00",0%
917,Suicoke,DARE-Sevab,"120,00","240,00",50%
918,Vans,Authentic LX OG,"45,00","90,00",50%
919,Vans,Authentic LX OG,"49,50","90,00",45%
920,Vans,Authentic LX OG,"45,00","90,00",50%
921,Vans,Style 36 Lx OG,"42,50","85,00",50%
922,Dr. Martens,DM Mura x Suicoke,"126,50","230,00",45%
923,Dr. Martens,DM Mura x Suicoke,"126,50","230,00",45%
924,Reebok,Aztec  II,"50,00","100,00",50%
925,Nike SB,Nyjah Free 2 ,"95,00","95,00",0%
926,adidas,4D Fusio,"100,00","200,00",50%
927,Salomon, XT-4 Advanced,"190,00","190,00",0%
928,Salomon,Raid Wind Advanced,"170,00","170,00",0%
929,Salomon,Raid Wind Advanced,"170,00","170,00",0%
930,Patta,Ranger Mid x Sebago ,"165,00","300,00",45%
931,Patta,Ranger Mid x Sebago ,"165,00","300,00",45%
932,adidas,Orion,"45,00","90,00",50%
933,adidas,Stan Smith ,"55,00","110,00",50%
934,Reebok,Club C 1985 TV,"100,00","100,00",0%
935,Reebok,Club C 1985 TV,"50,00","100,00",50%
936,Reebok,Club C 1985 TV,"50,00","100,00",50%
937,adidas,Glenbuck,"60,50","110,00",45%
938,Jordan,Jordan Delta 2 ,"130,00","130,00",0%
939,Reebok,Instapump Fury,"110,00","220,00",50%
940,Nike SB, SB Chron 2,"65,00","65,00",0%
941,Nike,Waffle Trainer 2 ,"55,00","100,00",45%
942,adidas,Ultraboost 20 x James Bond,"110,00","200,00",45%
943,adidas,Ultraboost 20 x James Bond,"110,00","200,00",45%
944,adidas,Ultraboost 20 x James Bond,"110,00","200,00",45%
945,Vans,Authentic x Aries Arise,"50,00","100,00",50%
946,Vans,Authentic x Aries Arise,"50,00","100,00",50%
947,Vans,Sk8-Mid x Aries Arise,"65,00","130,00",50%
948,Vans,Sk8-Mid x Aries Arise,"65,00","130,00",50%
949,Vans,Chukka Boot x Aries Arise,"60,00","120,00",50%
950,adidas,Triple Platforum Hi x Afropunk,"160,00","160,00",0%
951,Vans Vault,Half Cab EF VLT LX,"50,00","100,00",50%
952,Vans,Sk8-Hi 38 DX,"47,50","95,00",50%
953,Salomon,Odyssey 1 Advance,"170,00","170,00",0%
954,Salomon,Odyssey 1 Advance,"170,00","170,00",0%
955,Salomon,Odyssey 1 Advance,"170,00","170,00",0%
